OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,TRUE,2019-10-01T00:00:00,2019-10-30T23:23:59,,2019-10,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,190317,251377,168595,135769,99165
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,TRUE,2019-10-01T00:00:00,2019-10-30T23:23:59,,2019-10,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,148645,204639,127749,102068,76677
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,TRUE,2019-10-01T00:00:00,2019-10-30T23:23:59,,2019-10,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,183746,227343,156344,123702,90088
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,TRUE,2019-10-01T00:00:00,2019-10-30T23:23:59,,2019-10,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,156762,251991,170338,130887,103079
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,TRUE,2019-10-01T00:00:00,2019-10-30T23:23:59,,2019-10,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,217448,263722,179488,148310,104026
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,TRUE,2019-10-01T00:00:00,2019-10-30T23:23:59,,2019-10,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,193038,239726,163823,132916,85788
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,TRUE,2019-10-01T00:00:00,2019-10-30T23:23:59,,2019-10,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,225459,317157,204871,164583,112596
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,TRUE,2019-10-01T00:00:00,2019-10-30T23:23:59,,2019-10,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,177666,234278,151866,123096,94936
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-09-01T00:00:00,2019-09-30T23:23:59,Month,2019-09,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,187606,247212,165771,134437,99378
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-09-01T00:00:00,2019-09-30T23:23:59,Month,2019-09,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,152057,208911,130407,104823,79814
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-09-01T00:00:00,2019-09-30T23:23:59,Month,2019-09,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,179884,222265,152846,121562,89425
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-09-01T00:00:00,2019-09-30T23:23:59,Month,2019-09,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,155403,248942,167867,129763,103813
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-09-01T00:00:00,2019-09-30T23:23:59,Month,2019-09,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,211486,256451,174149,144661,102284
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-09-01T00:00:00,2019-09-30T23:23:59,Month,2019-09,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,188314,233515,159604,130298,84893
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-09-01T00:00:00,2019-09-30T23:23:59,Month,2019-09,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,223522,314172,202533,163567,112851
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-09-01T00:00:00,2019-09-30T23:23:59,Month,2019-09,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,175429,231071,149558,122020,94781
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-08-01T00:00:00,2019-08-31T23:23:59,Month,2019-08,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,186696,245728,165145,133739,99527
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-08-01T00:00:00,2019-08-31T23:23:59,Month,2019-08,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,157508,216322,135228,108464,82827
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-08-01T00:00:00,2019-08-31T23:23:59,Month,2019-08,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,178854,220910,152059,120767,89351
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-08-01T00:00:00,2019-08-31T23:23:59,Month,2019-08,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,155817,249527,168544,129991,104122
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-08-01T00:00:00,2019-08-31T23:23:59,Month,2019-08,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,208343,252598,171619,142419,101092
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-08-01T00:00:00,2019-08-31T23:23:59,Month,2019-08,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,188544,233767,159850,130292,85488
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-08-01T00:00:00,2019-08-31T23:23:59,Month,2019-08,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,223463,313936,202640,163400,113158
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-08-01T00:00:00,2019-08-31T23:23:59,Month,2019-08,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,169400,223032,144554,117758,91925
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-07-01T00:00:00,2019-07-30T23:59:59,Month,2019-07,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,184700,242779,163555,132333,99027
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-07-01T00:00:00,2019-07-30T23:59:59,Month,2019-07,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,162284,222638,139462,111800,85684
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-07-01T00:00:00,2019-07-30T23:59:59,Month,2019-07,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,175398,216397,149289,118532,88170
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-07-01T00:00:00,2019-07-30T23:59:59,Month,2019-07,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,156179,250145,169015,130282,104270
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-07-01T00:00:00,2019-07-30T23:59:59,Month,2019-07,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,208140,252123,171562,142345,101798
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-07-01T00:00:00,2019-07-30T23:59:59,Month,2019-07,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,190175,235580,161403,131570,86329
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-07-01T00:00:00,2019-07-30T23:59:59,Month,2019-07,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,215416,302241,195461,157513,109848
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-07-01T00:00:00,2019-07-30T23:59:59,Month,2019-07,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,164472,216210,140514,114482,89782
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-06-01T00:00:00,2019-06-31T23:59:59,Month,2019-06,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,183845,242116,162764,131317,98194
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-06-01T00:00:00,2019-06-31T23:59:59,Month,2019-06,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,160487,220619,137852,110207,84306
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-06-01T00:00:00,2019-06-31T23:59:59,Month,2019-06,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,174250,215267,148158,117417,87437
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-06-01T00:00:00,2019-06-31T23:59:59,Month,2019-06,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,154886,248573,167868,129069,103113
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-06-01T00:00:00,2019-06-31T23:59:59,Month,2019-06,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,208637,252895,171883,142500,102004
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-06-01T00:00:00,2019-06-31T23:59:59,Month,2019-06,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,191449,237519,162260,132027,86914
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-06-01T00:00:00,2019-06-31T23:59:59,Month,2019-06,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,212657,298566,193027,155263,108374
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-06-01T00:00:00,2019-06-31T23:59:59,Month,2019-06,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,164155,216029,140283,113974,89563
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-05-01T00:00:00,2019-05-31T23:59:59,Month,2019-05,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,184529,242776,163334,132066,98765
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-05-01T00:00:00,2019-05-31T23:59:59,Month,2019-05,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,157535,216631,135330,108113,82629
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-05-01T00:00:00,2019-05-31T23:59:59,Month,2019-05,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,175387,216733,149135,118100,87845
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-05-01T00:00:00,2019-05-31T23:59:59,Month,2019-05,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,157237,252527,170502,130863,104832
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-05-01T00:00:00,2019-05-31T23:59:59,Month,2019-05,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,207408,251470,170935,141484,101252
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-05-01T00:00:00,2019-05-31T23:59:59,Month,2019-05,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,187912,233096,159335,129575,85236
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-05-01T00:00:00,2019-05-31T23:59:59,Month,2019-05,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,213228,299482,193608,155526,108623
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-05-01T00:00:00,2019-05-31T23:59:59,Month,2019-05,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,170619,224639,145831,118337,93016
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-04-01T00:00:00,2019-04-31T23:59:59,Month,2019-04,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,185266,244000,163774,132314,99747
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-04-01T00:00:00,2019-04-31T23:59:59,Month,2019-04,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,157967,217475,135460,108207,83381
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-04-01T00:00:00,2019-04-31T23:59:59,Month,2019-04,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,177840,220063,150995,119395,89160
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-04-01T00:00:00,2019-04-31T23:59:59,Month,2019-04,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,158496,254829,171580,131515,106730
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-04-01T00:00:00,2019-04-31T23:59:59,Month,2019-04,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,207367,251717,170863,140988,101059
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-04-01T00:00:00,2019-04-31T23:59:59,Month,2019-04,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,186723,231832,158146,128441,85134
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-04-01T00:00:00,2019-04-31T23:59:59,Month,2019-04,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,213672,300522,193885,155538,108956
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-04-01T00:00:00,2019-04-31T23:59:59,Month,2019-04,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,171232,225725,146184,118572,93565
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-03-01T00:00:00,2019-03-31T23:59:59,Month,2019-03,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,185875,245497,164073,132125,100200
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-03-01T00:00:00,2019-03-31T23:59:59,Month,2019-03,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,155121,213738,132940,106045,82127
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-03-01T00:00:00,2019-03-31T23:59:59,Month,2019-03,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,183085,226743,155262,122678,92056
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-03-01T00:00:00,2019-03-31T23:59:59,Month,2019-03,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,157985,254562,170896,130772,106928
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-03-01T00:00:00,2019-03-31T23:59:59,Month,2019-03,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,208209,253142,171267,141179,101672
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-03-01T00:00:00,2019-03-31T23:59:59,Month,2019-03,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,187655,233211,158792,128853,85514
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-03-01T00:00:00,2019-03-31T23:59:59,Month,2019-03,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,213343,300609,193397,154888,109013
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-03-01T00:00:00,2019-03-31T23:59:59,Month,2019-03,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,169534,223831,144591,117113,92832
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-02-01T00:00:00,2019-02-30T23:59:59,Month,2019-02,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,184701,244306,162960,130936,99739
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-02-01T00:00:00,2019-02-30T23:59:59,Month,2019-02,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,152385,209898,130461,104211,81121
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-02-01T00:00:00,2019-02-30T23:59:59,Month,2019-02,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,181558,224786,153891,121706,91941
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-02-01T00:00:00,2019-02-30T23:59:59,Month,2019-02,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,154244,248238,166518,127663,105141
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-02-01T00:00:00,2019-02-30T23:59:59,Month,2019-02,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,209668,254945,172407,142174,102958
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-02-01T00:00:00,2019-02-30T23:59:59,Month,2019-02,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,188368,234102,159262,129296,86638
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-02-01T00:00:00,2019-02-30T23:59:59,Month,2019-02,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,211998,298559,192088,153998,108788
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-02-01T00:00:00,2019-02-30T23:59:59,Month,2019-02,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,168273,222119,143463,116304,92637
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-01-01T00:00:00,2019-01-31T23:59:59,Month,2019-01,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,184731,244582,162972,130789,99578
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-01-01T00:00:00,2019-01-31T23:59:59,Month,2019-01,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,150558,207537,128996,102892,79523
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-01-01T00:00:00,2019-01-31T23:59:59,Month,2019-01,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,180191,223089,152700,120847,91261
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-01-01T00:00:00,2019-01-31T23:59:59,Month,2019-01,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,152597,245755,164764,126363,103767
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-01-01T00:00:00,2019-01-31T23:59:59,Month,2019-01,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,210882,256529,173166,143160,103827
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-01-01T00:00:00,2019-01-31T23:59:59,Month,2019-01,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,189855,236165,160379,130127,87227
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-01-01T00:00:00,2019-01-31T23:59:59,Month,2019-01,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,214542,302151,194417,155852,110035
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-01-01T00:00:00,2019-01-31T23:59:59,Month,2019-01,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,167665,221499,142939,115726,92113
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-12-01T00:00:00,2018-12-31T23:59:59,Month,2018-12,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,183820,242825,162287,130563,99628
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-12-01T00:00:00,2018-12-31T23:59:59,Month,2018-12,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,152806,210320,130894,104691,81075
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-12-01T00:00:00,2018-12-31T23:59:59,Month,2018-12,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,174808,216179,148272,117492,88838
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-12-01T00:00:00,2018-12-31T23:59:59,Month,2018-12,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,152836,245345,164859,126813,104115
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-12-01T00:00:00,2018-12-31T23:59:59,Month,2018-12,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,211799,257392,174067,144058,104608
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-12-01T00:00:00,2018-12-31T23:59:59,Month,2018-12,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,190513,236744,160981,130853,88002
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-12-01T00:00:00,2018-12-31T23:59:59,Month,2018-12,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,213750,300598,193672,155600,109991
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-12-01T00:00:00,2018-12-31T23:59:59,Month,2018-12,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,166392,219528,141902,115110,91685
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-11-01T00:00:00,2018-11-31T23:59:59,Month,2018-11,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,185393,244775,163643,131908,100395
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-11-01T00:00:00,2018-11-31T23:59:59,Month,2018-11,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,154916,213280,132729,106213,81852
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-11-01T00:00:00,2018-11-31T23:59:59,Month,2018-11,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,176206,217914,149508,118482,89125
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-11-01T00:00:00,2018-11-31T23:59:59,Month,2018-11,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,154070,247340,166007,127992,104747
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-11-01T00:00:00,2018-11-31T23:59:59,Month,2018-11,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,211112,256557,173489,143737,103821
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-11-01T00:00:00,2018-11-31T23:59:59,Month,2018-11,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,190702,237028,161126,131011,87662
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-11-01T00:00:00,2018-11-31T23:59:59,Month,2018-11,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,218799,307889,198165,159352,112139
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-11-01T00:00:00,2018-11-31T23:59:59,Month,2018-11,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,167592,221197,142870,115942,91849
